Paper ID,Title,Year,Replication Package Link,Programming Language,Executability Status,Result Status,Reproducibility Status
P077,"SAVER: scalable, precise, and safe memory-error repair",2020,https://github.com/kupl/SAVER_public/,C,Executable,No Output Generated,N/A
P078,Scaling open source communities: an empirical study of the Linux kernel,2020,https://archive.softwareheritage.org/browse/directory/33d1a7540c8dc449b90d4771f6dd52ba45e26879/,Py,Not Executable,N/A,N/A
P079,Testing DNN image classifiers for confusion & bias errors,2020,"Code - https://github.com/ARiSE-Lab/DeepInspect,
Errors - https://www.rayb.info/deepinspect",Py,Partially Executable,Partially Produced,Partially Reproducible
P080,Testing file system implementations on layered models,2020,https://midwinter1993.github.io/dogfood/,Py,Partially Executable,No Output Generated,N/A
P081,When APIs are intentionally bypassed: an exploratory study of API workarounds,2020,https://github.com/senseuwaterloo/API-Workarounds,Java,Not Executable,N/A,N/A
P082,AutoTap: Synthesizing and Repairing Trigger-Action Programs Using LTL Properties,2019,https://github.com/zlfben/autotap,Py,Executable,Results Produced,Fully Reproducible
P083,Class Imbalance Evolution and Verification Latency in Just-in-Time Software Defect Prediction,2019,https://zenodo.org/records/2555695,Java,Not Executable,N/A,N/A
P084,DeepPerf: Performance Prediction for Configurable Software with Deep Sparse Neural Network,2019,https://github.com/DeepPerf/DeepPerf,Py,Executable,Results Produced,Fully Reproducible
P085,Detecting Incorrect Build Rules,2019,https://github.com/nandor/mkcheck,C++,Partially Executable,No Output Generated,N/A
P086,Distance-Based Sampling of Software Configuration Spaces,2019,https://github.com/se-passau/Distance-Based_Data,Py,Partially Executable,Partially Produced,Not Reproducible
P087,DockerizeMe: Automatic Inference of Environment Dependencies for Python Code Snippets,2019,https://github.com/dockerizeme/dockerizeme,Py,Executable,Results Produced,Unverifiable
P088,FOCUS: A Recommender System for Mining API Function Calls and Usage Patterns,2019,https://zenodo.org/records/2550379,Java,Not Executable,N/A,N/A
P089,Accurate and efficient refactoring detection in commit history,2018,"Repo - https://github.com/tsantalis/RefactoringMiner,
Database - https://refactoring.encs.concordia.ca/oracle/ (404)",Java,Executable,Results Produced,Partially Reproducible
P090,Efficient sampling of SAT solutions for testing,2018,https://github.com/RafaelTupynamba/quicksampler,C++,Partially Executable,No Output Generated,N/A
P091,Goal-conflict likelihood assessment based on model counting,2018,https://sites.google.com/site/goalconflictsmodelcounting/,Java,Not Executable,N/A,N/A
P092,Nemo: multi-criteria test-suite minimization with integer nonlinear programming,2018,"https://ics.uci.edu/~seal/projects/nemo/index.html,
https://github.com/jwlin/Nemo",Py,Executable,Results Produced,Partially Reproducible
P093,Prioritizing browser environments for web application test execution,2018,https://webeng.kaist.ac.kr/browser-env-prio/,Py,Executable,Results Produced,Unverifiable
P094,Clone Refactoring with Lambda Expressions,2017,https://users.encs.concordia.ca/~nikolaos/ICSE_2017/,R,Not Executable,N/A,N/A
P095,How Do Developers Fix Cross-Project Correlated Bugs? A Case Study on the GitHub Scientific Python Ecosystem,2017,https://github.com/njuap/ICSE2017,Py,Not Executable,N/A,N/A
P096,Travioli: A Dynamic Analysis for Detecting Data-Structure Traversals,2017,https://github.com/rohanpadhye/travioli,Py,Partially Executable,No Output Generated,N/A
P097,Floating-point precision tuning using blame analysis,2016,https://github.com/corvette-berkeley/shadow-execution,C,Not Executable,N/A,N/A
P098,The impact of test case summaries on bug fixing performance: an empirical investigation,2016,https://zenodo.org/records/45120,Java,Not Executable,N/A,N/A
P099,A Comparative Study of Programming Languages in Rosetta Code,2015,https://bitbucket.org/nanzs/rosettacodedata/src/master/,Py,Not Executable,N/A,N/A
P100,"No PAIN, No Gain? The Utility of PArallel Fault INjections",2015,https://github.com/DEEDS-TUD/PAIN,C,Not Executable,N/A,N/A
